airport_code,lat,lon
BBQ,17.6358,-61.8286
ANU,17.1367,-61.7927
AXA,18.2048,-63.0551
BGI,13.0746,-59.4925
BDA,32.364,-64.6787
ELH,25.4749,-76.6835
MHH,26.5114,-77.0835
NAS,25.039,-77.4662
BZE,17.5391,-88.3082
YYC,51.1139,-114.02
YLW,49.9561,-119.378
YVR,49.1939,-123.184
YYT,47.6186,-52.7519
YHM,43.1736,-79.935
YPD,45.2575,-79.8297
YQG,42.2756,-82.9556
YTZ,43.6285,-79.396
YYZ,43.6797,-79.6227
YYG,46.29,-63.1211
YQB,46.7911,-71.3933
YUL,45.4657,-73.7455
ZRH,47.4647,8.54917
CTG,10.4424,-75.513
LIR,10.5933,-85.5444
NRN,51.6024,6.14217
RKE,55.5856,12.1314
POP,19.7579,-70.57
AGP,36.6749,-4.49911
PMI,39.5517,2.73881
MAD,40.4719,-3.56264
VLC,39.4893,-0.481625
LYS,45.7256,5.08111
LBG,48.9622,2.4383
MRS,43.4393,5.22142
NCE,43.6584,7.21587
TLN,43.0973,6.14603
FAB,51.2758,-0.776333
LTN,51.8747,-0.368333
EDI,55.95,-3.3725
GLA,55.8719,-4.43306
GUA,14.5817,-90.5267
SNN,52.702,-8.92482
DUB,53.4213,-6.27007
RKV,64.13,-21.9406
KEF,63.985,-22.6056
NAP,40.886,14.2908
GOA,44.4133,8.8375
LIN,45.4494,9.2783
MXP,45.6306,8.72811
OLB,40.8987,9.51763
GCM,19.2928,-81.3577
RAK,31.6069,-8.0363
LAP,24.0727,-110.362
SJD,23.1518,-109.721
TAP,14.7943,-92.37
GDL,20.5218,-103.311
PVR,20.6801,-105.254
TLC,19.3371,-99.566
CUN,21.0365,-86.8771
OSL,60.1939,11.1004
LRM,18.4507,-68.9118
SJU,18.4394,-66.0018
VST,59.6018,16.6284
SXM,18.041,-63.1089
PLS,21.7736,-72.2659
AUO,32.6151,-85.434
BHM,33.5629,-86.7535
TCL,33.2206,-87.6114
AKN,58.6768,-156.649
ANC,61.1744,-149.996
DLG,59.0447,-158.505
GST,58.4253,-135.707
AVW,32.4096,-111.218
FHU,31.5885,-110.344
PHX,33.4343,-112.012
SCF,33.6229,-111.911
TUS,32.1161,-110.941
LIT,34.7294,-92.2243
APC,38.2132,-122.281
BUR,34.2007,-118.359
CLD,33.1283,-117.28
CSL,35.3261,-120.7429
HWD,37.6592,-122.122
LAX,33.9425,-118.408
LGB,33.8177,-118.152
MHR,38.5539,-121.298
MRY,36.587,-121.843
NUQ,37.4161,-122.049
OAK,37.7213,-122.221
PSP,33.8297,-116.507
SAC,38.5125,-121.493
SAN,32.7336,-117.19
SBA,34.4262,-119.84
SBP,35.2368,-120.642
SCK,37.8942,-121.238
SDM,32.5723,-116.98
SFO,37.619,-122.375
SJC,37.3626,-121.929
SMF,38.6954,-121.591
SMX,34.8989,-120.457
SNA,33.6757,-117.868
SNS,36.6628,-121.606
SPA,34.9157,-81.9565
STS,38.509,-122.813
TKF,39.32,-120.14
TRM,33.6267,-116.16
TVL,38.8939,-119.995
VNY,34.2098,-118.49
APA,39.5701,-104.849
ASE,39.2232,-106.869
BJC,39.9088,-105.117
COS,38.8058,-104.701
DEN,39.8617,-104.673
EGE,39.6426,-106.918
FNL,40.4518,-105.011
GJT,39.1224,-108.527
GUC,38.5339,-106.933
HDN,40.4812,-107.218
MTJ,38.5098,-107.894
RIL,39.5263,-107.727
TEX,37.9538,-107.908
BDL,41.9392,-72.6833
BDR,41.1635,-73.1262
GON,41.3301,-72.0451
HFD,41.7367,-72.6494
HVN,41.2637,-72.8868
GED,38.6892,-75.3589
APF,26.1526,-81.7753
BCT,26.3785,-80.1077
BOW,27.9434,-81.7834
ECP,30.3571,-85.7954
EYW,24.5561,-81.7596
FLL,26.0726,-80.1527
FMY,26.5866,-81.8633
FXE,26.1973,-80.1707
GNV,29.6901,-82.2718
ISM,28.2898,-81.4371
JAX,30.4941,-81.6879
LAL,27.9889,-82.0186
MIA,25.7932,-80.2906
MTH,24.7261,-81.0514
OPF,25.907,-80.2784
ORL,28.5455,-81.3329
PBI,26.6832,-80.0956
PIE,27.9102,-82.6874
RSW,26.5362,-81.7552
SFB,28.7776,-81.2375
SRQ,27.3954,-82.5544
SUA,27.1817,-80.2211
TMB,25.6479,-80.4328
TPA,27.9755,-82.5332
UST,29.9592,-81.3398
VNC,27.0716,-82.4403
VRB,27.6556,-80.4179
ABY,31.5355,-84.1945
AGS,33.3699,-81.9645
BQK,31.2588,-81.4665
FTY,33.7791,-84.5214
PDK,33.8756,-84.302
SAV,32.1276,-81.2021
TBR,32.4827,-81.7369
HNL,21.3206,-157.924
KOA,19.7388,-156.046
LIH,21.976,-159.339
OGG,20.8986,-156.43
COE,47.7743,-116.82
IDA,43.5136,-112.071
SUN,43.5044,-114.296
CPS,38.5707,-90.1562
DPA,41.9078,-88.2486
MDW,41.7861,-87.7525
MWA,37.755,-89.0111
ORD,41.9786,-87.9047
UGN,42.4222,-87.8679
BMG,39.146,-86.6167
EVV,38.037,-87.5324
FWA,40.9785,-85.1951
IND,39.7173,-86.2944
SBN,41.7087,-86.3173
CBF,41.2592,-95.7606
CVG,39.0488,-84.6678
LEX,38.0365,-84.6059
SDF,38.1744,-85.736
BTR,30.5332,-91.1496
HUM,29.5665,-90.6604
LFT,30.2053,-91.9876
MSY,29.9934,-90.258
NEW,30.0424,-90.0283
SHV,32.4466,-93.8256
AUG,44.3206,-69.7973
BGR,44.8074,-68.8281
BHB,44.45,-68.3615
NHZ,43.8922,-69.9386
PWM,43.6462,-70.3093
RKD,44.0601,-69.0992
SFM,43.3939,-70.708
BWI,39.1753,-76.6683
FDK,39.4176,-77.3743
MTN,39.3257,-76.4138
ACK,41.2531,-70.0602
BAF,42.1578,-72.7156
BED,42.47,-71.289
BOS,42.3643,-71.0052
BQN,18.4949,-67.1294
EWB,41.6761,-70.9569
HYA,41.6693,-70.2804
MVY,41.3931,-70.6143
ORH,42.2673,-71.8757
OWD,42.1905,-71.1729
PSF,42.4268,-73.2929
PYM,41.909,-70.7288
DTW,42.2125,-83.3533
MKG,43.1695,-86.2382
PLN,45.5709,-84.7967
PTK,42.6655,-83.4201
TVC,44.7414,-85.5822
MSP,44.882,-93.2218
RST,43.9083,-92.5
STP,44.9345,-93.06
JEF,38.5912,-92.1561
MCI,39.2976,-94.7139
MKC,39.1232,-94.5928
STL,38.7487,-90.37
SUS,38.6621,-90.652
BIL,45.8077,-108.543
BZN,45.7775,-111.153
FCA,48.3105,-114.256
HSH,35.9728,-115.134
LAS,36.0801,-115.152
RNO,39.4991,-119.768
ASH,42.7817,-71.5148
LCI,43.5727,-71.4189
LEB,43.6261,-72.3042
MHT,42.9326,-71.4357
PSM,43.0779,-70.8233
ACY,39.4576,-74.5772
BLM,40.1869,-74.1249
CDW,40.8752,-74.2814
EWR,40.6925,-74.1686
MJX,39.9275,-74.2924
MMU,40.7994,-74.4149
TEB,40.8501,-74.0608
TTN,40.2767,-74.8135
WWD,39.0085,-74.9083
ALM,32.8399,-105.991
SAF,35.6171,-106.089
ALB,42.7483,-73.8017
BGM,42.2087,-75.9798
BUF,42.9405,-78.7322
FOK,40.8437,-72.6318
FRG,40.7288,-73.4134
HPN,41.067,-73.7076
ISP,40.7952,-73.1002
JFK,40.6397,-73.7789
LGA,40.775,-73.875
POU,41.6266,-73.8842
RME,43.2338,-75.407
SLK,44.3853,-74.2062
AVL,35.4362,-82.5418
CLT,35.214,-80.9431
GSO,36.0978,-79.9373
HKY,35.7411,-81.3895
ILM,34.2706,-77.9026
RDU,35.8776,-78.7875
AKC,41.0375,-81.4669
BKL,41.5175,-81.6833
CAK,40.9161,-81.4422
CGF,41.5651,-81.4864
CLE,41.4117,-81.8498
CMH,39.998,-82.8919
LUK,39.1033,-84.4186
OSU,40.0798,-83.073
TOL,41.5868,-83.8078
YNG,41.2607,-80.6791
OKC,35.3931,-97.6007
RVS,36.0396,-95.9846
TUL,36.1984,-95.8881
OTH,43.4171,-124.246
PDT,45.6951,-118.841
PDX,45.5887,-122.598
ABE,40.6521,-75.4408
AGC,40.3544,-79.9302
CTH,39.979,-75.8655
MDT,40.1935,-76.7634
PHL,39.8719,-75.2411
PIT,40.4915,-80.2329
PNE,40.0819,-75.0106
SCE,40.8493,-77.8487
NCO,41.5971,-71.4121
PVD,41.7326,-71.4204
AIK,33.6494,-81.685
BFT,32.4122,-80.6344
CAE,33.9388,-81.1195
CHS,32.8986,-80.0405
GMU,34.8479,-82.35
GSP,34.8957,-82.2189
MYR,33.6797,-78.9283
RBW,32.921,-80.6406
LQK,34.81,-82.7029
BNA,36.1245,-86.6782
CHA,35.0353,-85.2038
MEM,35.0424,-89.9767
TRI,36.4752,-82.4074
TYS,35.811,-83.994
ADS,32.9686,-96.8364
AFW,32.9876,-97.3188
AUS,30.1945,-97.6699
DAL,32.8471,-96.8518
DFW,32.8968,-97.038
DWH,30.0618,-95.5528
ELP,31.8072,-106.378
ERV,29.9767,-99.0857
FTW,32.8198,-97.3624
GGG,32.384,-94.7115
HOU,29.6454,-95.2789
IAH,29.9844,-95.3414
LBB,33.6636,-101.823
LRD,27.5438,-99.4616
MAF,31.9425,-102.202
RBD,32.6809,-96.8682
SAT,29.5337,-98.4698
SGR,29.6223,-95.6565
OGD,41.1959,-112.012
PVU,40.2192,-111.723
SLC,40.7884,-111.978
BTV,44.4719,-73.1533
MVL,44.5346,-72.614
CHO,38.1386,-78.4529
DCA,38.8522,-77.0378
IAD,38.9445,-77.4558
LYH,37.3267,-79.2004
BFI,47.53,-122.302
PAE,47.9063,-122.282
CRW,38.3731,-81.5932
MRB,39.4019,-77.9846
ATW,44.2581,-88.5191
GRB,44.4851,-88.1296
HYR,46.0252,-91.4443
MKE,42.9472,-87.8966
MSN,43.1399,-89.3375
SBM,43.7696,-87.8514
UES,43.041,-88.2371
JAC,43.6073,-110.738
RKS,41.5942,-109.065
SVD,13.1443,-61.2109
STT,18.3373,-64.9734